system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id
Thontar,170.125,-130.59375,6.875,3486,Wasden Orbital,Coriolis Starport,4185,23549
Pachamama,3.84375,-61.8125,26.9375,2038,Lowell Station,Coriolis Starport,3799,67697
Obe,-59.09375,-46.25,66.03125,2926,Coggia Terminal,Orbis Starport,298,3950
Maritzambwe,67.15625,-154.21875,-82.78125,1792,Maler Station,Coriolis Starport,65,33837
Mals,-58.40625,-79.25,88.96875,31880,Parsons Dock,Mining Outpost,22,41034
Serrot,19.15625,-27.25,80.75,1586,Winthrop Landing,Civilian Outpost,911,4231
Nithhogg,47.71875,-96.25,117.21875,2422,Midgley City,Industrial Outpost,906,3591
LTT 12680,31.09375,53.25,-34.96875,3261341,Gooch Survey,Mining Outpost,587,33908
Luggsa,151.0625,-74.40625,102.53125,1823,Piserchia Dock,Mining Outpost,23269,13237
Nanto,-19.71875,78.84375,118.375,1513568,Reeves City,Industrial Outpost,177,75319
Olodyang,-63.3125,-43.5,41.40625,36844,Garriott Mine,Industrial Outpost,219,28883
Nezheng,-100.53125,23.65625,141.1875,1102,Hutton Dock,Industrial Outpost,2902,52166
Ngalibamba,78.71875,-64.28125,117.53125,1910,Iben Orbital,Scientific Outpost,202,6250
Macuano,-39.34375,-136.40625,56.03125,2095,Trinh Prospect,Mining Outpost,984,44117
Njortamool,46.65625,-43.34375,-43.6875,29911,Sinclair Colony,Civilian Outpost,28490,40991
Maiphu,-37.125,-37.25,163.78125,14363,Bernard Hub,Orbis Starport,82790,8758
Modgud,171.875,-111.46875,2.21875,3531,Miller Ring,Orbis Starport,967,19858
LTT 5652,56.8125,-9.8125,50.3125,39795,Lonchakov Orbital,Coriolis Starport,414,22192
Zemlyaqa,61.46875,-57.40625,-40.96875,2304,Maanen Outpost,Mining Outpost,283,723
Mehudti,-12.46875,-99.28125,-20.9375,14418,Frimout Landing,Mining Outpost,112,28113
Pemeno,27.71875,-178.25,-58.5625,1813,Creamer Orbital,Ocellus Starport,255,31100
Maleku,-132.59375,-100.21875,-40.40625,1832,Weaver Port,Coriolis Starport,252,2926
No Myoino,-12.90625,-49.0625,161.15625,1016,Borrelly City,Civilian Outpost,102750,15726
Machi,-19.40625,119.1875,7.3125,20280,Qureshi Dock,Orbis Starport,118,4031
Nanarilobo,-29.625,157.90625,-10.6875,1411,Bova Orbital,Orbis Starport,8718,60
Navajojiu,-48.9375,46.46875,120.0625,1336,van Houten Station,Coriolis Starport,341,55160
Medu,-1.6875,168.90625,61.0625,2899640,Bluford Colony,Civilian Outpost,366,24014
Nareni,60.09375,37.8125,-71.8125,3495947,Wolf Dock,Industrial Outpost,6299,26230
Olurorai,-111.84375,114.25,-13.96875,7971,Taylor Estate,Industrial Outpost,2093,67804
LTT 9397,-11.59375,-83.3125,30.9375,35687,Fast Port,Industrial Outpost,769,9154
Nirros,-62.84375,-99.9375,67.46875,3838259,Davy Dock,Civilian Outpost,601,54031
LTT 4696,107,-3.34375,62.9375,2006,Dutton Gateway,Coriolis Starport,164,21255
Mawalivun,-50.125,-117,55.09375,3122,Bloch's Claim,Industrial Outpost,952,16325
Mu Nik,-11.28125,-86.96875,102.96875,4475,Emshwiller Landing,Civilian Outpost,37,74998
Matses,-98.1875,-24.53125,88.25,1665,Duke Terminal,Orbis Starport,128,59836
Machimi,18.28125,-234.875,67.09375,4092,Koontz Survey,Mining Outpost,298,5153
Trua,-87.46875,12.9375,-38.3125,17156,Foale Station,Coriolis Starport,313825,22866
Oicorio,178.96875,-180.15625,47.875,1578,Alexander Terminal,Coriolis Starport,938,43857
LTT 6216,37,38.1875,100.78125,20700,Thorne Hub,Civilian Outpost,768,22996
Oserktomen,46.59375,40.21875,-113.625,2958,Pangborn Platform,Civilian Outpost,1528,11217
Nemehutas,146.3125,71.21875,-83.3125,2197,de Kamp Hub,Mining Outpost,43,10332
NLTT 1139,-64.9375,-26.5,-33.40625,3182,Aksyonov Orbital,Orbis Starport,15,3402
LTT 2545,56.28125,-10.90625,-93.3125,1138,Amphipolis,Coriolis Starport,460,17717
LTT 8410,-2.90625,-71.65625,74.3125,2056,Lovelace Hangar,Industrial Outpost,1502,57334
HIP 18077,-303.84375,-236.125,-860.59375,10000,Oleskiw Colony,Industrial Outpost,10983,75538
NLTT 639,-79.15625,-78.625,-31.21875,1936279,Sitter Station,Industrial Outpost,178,3946
LP 60-205,-31.96875,46.84375,-50.375,4622696,Eschbach Station,Industrial Outpost,576,14314
Nareldi,10.78125,-205.21875,92.375,2052,Crossfield Terminal,Coriolis Starport,1603,47815
Maljan,72.625,-0.875,-127.84375,1984,Macedo City,Coriolis Starport,685,363
Mararri,130.84375,-109.78125,76.1875,2085,Cowling Orbital,Coriolis Starport,11191,26495
Mebechtani,57.21875,0.03125,69.03125,26002,Jodrell Bank,Orbis Starport,293,70844
LP 214-26,-2.78125,85.4375,-39.8125,2626,Piercy Dock,Mining Outpost,4925,8734
Selkuntan,84.09375,-239.09375,61.1875,1834,Maughmer Ring,Coriolis Starport,728,9385
Maray,142.09375,-73.3125,71.28125,1798,Ali Port,Industrial Outpost,1394,9979
Niflheimri,15.90625,-38.21875,72.125,21598,Rotsler Hub,Industrial Outpost,564,50614
Obotra,-5.09375,-23.625,-152.3125,2127,Baraniecki Platform,Mining Outpost,48,23596
Ravanahutis,-77.09375,19.5625,35.4375,32186,Biesbroeck Station,Orbis Starport,58,357
Miratres,59.46875,-101.90625,105.46875,56629,Ramsbottom Works,Industrial Outpost,1605,75388
Nasoda,-83.3125,-112.5,-63.8125,1144338,Lorrah Port,Civilian Outpost,441,49471
Ponchi,149.84375,-124.90625,80.25,4948,Brothers Hub,Industrial Outpost,62,17724
Maric,30.65625,-183.53125,56.1875,3903,Scully-Power Station,Coriolis Starport,98,23613
Mari,22.5,-12.4375,27.53125,872408056,Molina Platform,Industrial Outpost,50600,16732
Othi,48.78125,56.28125,65.75,25914,Dobrovolski Ring,Commercial Outpost,119,6137
LTT 9315,-15.75,-60.09375,22.5625,1910,Malenchenko Terminal,Coriolis Starport,4983,44957
Yarrinic,-123.59375,-59.03125,-3.0625,21005,Pimi Orbital,Coriolis Starport,146333,17554
Wuniez,5.375,-32.78125,-84.5625,2071,Taylor Dock,Civilian Outpost,1339,44712
LTT 5276,89.5625,-11,69.375,22522,Snyder Mine,Industrial Outpost,11124,45983
Othime,2.40625,-26.4375,52.4375,34364,Buckey Installation,Civilian Outpost,2735,13309
Oicoan,-136.125,-43.78125,73.1875,5812,Clark Orbital,Orbis Starport,75,29719
Ocsho,-51,-18.75,94.71875,13436,Fernandes de Queiros Landing,Industrial Outpost,1229,12725
Nyanga,88.1875,-8.875,-58.46875,46432,Svavarsson Ring,Industrial Outpost,88,41938
Nukam,-0.9375,30.71875,65.3125,16514,Bierce Refinery,Civilian Outpost,586,65530
Zac Cechaqu,110.25,0.34375,40.0625,2262106,Meitner Terminal,Civilian Outpost,2728,17800
LTT 3007,53.96875,2.3125,-26.9375,500,Buffett Hub,Civilian Outpost,103154,8328
Ngarokpoi,51.59375,42.9375,57.9375,114653,Penn Installation,Industrial Outpost,711,72358
Mombal,58.90625,-103.84375,-92.15625,3447,Binet Gateway,Commercial Outpost,471,31938
Nukamba,-149.75,82.5,50.71875,3590,Rothfuss Freeport,Industrial Outpost,11550,3441
Mislika,-99.0625,-3.40625,3.125,2445697,Chadbourne Station,Mining Outpost,2544,53076
Medusa,-67.96875,42.5,-14.5,36847,Vinge Terminal,Orbis Starport,32,28982
Wirdi,95.375,-119.375,139.5,4970,Ciferri Dock,Mining Outpost,2532,34635
Maheo,46.21875,74.6875,-65.21875,972,Smith Plant,Industrial Outpost,793,75194
Luchoer,73.125,-136.3125,4.96875,2391,Hoffman Enterprise,Industrial Outpost,1303,42502
LTT 3919,50.03125,17.375,5.59375,33603,Shimizu Gateway,Civilian Outpost,1559,33494
LTT 1582,44.5,-96.96875,-45.21875,4675056,Christian Station,Coriolis Starport,2538,46659
LTT 15084,-72.5625,62.3125,69.46875,1740,Crown Dock,Coriolis Starport,8030,5228
Stopover,-1.65625,-10.28125,16.625,2500,Carson Settlement,Military Outpost,210,54456
Ngauninda,119.0625,-171.71875,132.25,244183,Smith Port,Orbis Starport,204,38078
Murarija,-73.28125,87.90625,87.125,10052,Ray Station,Industrial Outpost,38,72471
LP 772-72,18.75,-59.65625,-42.96875,2058,Norton Port,Orbis Starport,6675,6178
Neitsi,-134.25,-99.9375,42.9375,3141,Lindblad Platform,Mining Outpost,12,4494
Loki Tstae,-83.28125,-22.0625,138.4375,1376,Hatanaka Enterprise,Civilian Outpost,443,34323
LP 440-38,-4.65625,43.78125,20.6875,21211,Smyth Orbital,Industrial Outpost,120,36908
Logoni,69.21875,29.03125,17.28125,26609,Rukavishnikov Hub,Coriolis Starport,304,5013
Liu Pei,57,-40.625,-103.84375,2497,Schwabe Vision,Mining Outpost,33,51919
Paiyungh,-84.84375,-44.4375,-52.78125,2472790,Edison Hub,Orbis Starport,24685,67184
Yen K'an,-90.375,2.4375,-179.75,3494,Fujikawa Colony,Civilian Outpost,660,57111
Oduduseri,122.4375,-9.25,39.09375,19916,Roberts Enterprise,Commercial Outpost,1283,67679
Novantait,85.71875,-39.75,134.625,1032,Morgan Landing,Civilian Outpost,1315,22876
Noegin,-42.53125,-38.0625,44.3125,2099,Curie Enterprise,Commercial Outpost,217042,23336
Medj He,-83.625,-33.4375,42.34375,1938472,Bridges City,Industrial Outpost,231,24014
Njangari,8.875,-205.4375,64.375,2062326,Poleshchuk Holdings,Civilian Outpost,13841,29313
Ngolitjali,-117.53125,38.0625,-4.9375,2370,Robinson Orbital,Civilian Outpost,24,10967
Mirolunts,126.03125,-125.71875,52.78125,3790033,Banneker Vision,Mining Outpost,270,27972
Nehebkau,-16.6875,-120.75,-30.40625,16485,Chaffee Terminal,Scientific Outpost,513,13691
Rynchi,39.375,-218.1875,-64.71875,3601,Redi Terminal,Ocellus Starport,484,50334
LTT 9164,-36.96875,-56.46875,19.34375,294761,Riebe Reach,Industrial Outpost,708,46898
LTT 11103,-5.125,-71.28125,-30.46875,2927632,Tilley Gateway,Coriolis Starport,11710,55660
Morta,-48.3125,-27.875,17.09375,21592,Tarentum Mine,Mining Outpost,22,32217
Napoyo,91.6875,-146.65625,37.875,3411,Bennett Landing,Industrial Outpost,680,38114
Wulba,-77.5,5.8125,124.40625,16501,Gorey Ring,Scientific Outpost,751,9382
Nangutsu,-27.71875,0.4375,92.1875,1361680,Carroll Station,Coriolis Starport,1037,3985
Xereta,61.46875,-98.125,-26.5625,2468,Forstchen Hub,Orbis Starport,471,973
Wallatu,77.78125,-188.6875,108.53125,2563,Slayton Orbital,Civilian Outpost,32252,6183
LP 694-16,-28.5,-18.4375,42.46875,3152452,Bonestell Hub,Industrial Outpost,1500,6249
LP 673-42,40.03125,53.34375,6.90625,57847,Ferguson Mines,Mining Outpost,539,4255
LTT 9850,-26.375,-101.15625,7.5,6042164,Burton Station,Mining Outpost,225,11129
Ossim,-112.53125,-23.53125,109.03125,2776,Cook Orbital,Coriolis Starport,1329,10098
Namat,55.75,-187.46875,90.21875,10961944,Sandage City,Civilian Outpost,106,40091
Velniassee,61.625,-78.0625,146.0625,2520,Fancher Terminal,Mining Outpost,27,72335
MY Apodis,56,-24.4375,41.9375,2400,Bolotov City,Coriolis Starport,623,25928
Minarii,81.0625,43.9375,39.125,2179195,Viktorenko Station,Ocellus Starport,745,32995
Luluwala,58.53125,-69.625,36.625,23474,Wundt City,Ocellus Starport,2884,45913
Mbetatika,46.5,-132.75,11.375,3625,Broderick Gateway,Orbis Starport,240,21997
LP 816-61,-47.84375,-64.5625,75.3125,19167,Bok Hub,Industrial Outpost,73,9213
Ongerinja,-40.4375,14.1875,35.84375,3390,Lyot Colony,Industrial Outpost,31,6197
HIP 65780,24.875,179.40625,54.625,885,Stebler Survey,Industrial Outpost,1329,55771
Notus,-62.78125,-19,4.90625,2751442,Hardwick Orbital,Coriolis Starport,457970,10879
Nal Yeh,7.25,-3.125,54.65625,36520,Nespoli Ring,Orbis Starport,270,52577
Ngolibardu,-48.8125,-7.75,39.8125,2461357,Serrao Hub,Coriolis Starport,518,1087
Parakan,113.625,64.8125,-89.125,16447,Daqing Terminal,Industrial Outpost,678,11950
Owiones,23.53125,108.3125,118.84375,1158,Chiang Orbital,Coriolis Starport,1781,7055
Nihursaga,24.0625,9.3125,-62.875,2785745,Naubakht Depot,Mining Outpost,199,12460
Njungum,134.59375,-21.5625,1.15625,2704,Suydam City,Commercial Outpost,22,9060
Col 285 Sector GE-T b19-3,-18.1875,164.5625,64.0625,176281,Houssay Port,Industrial Outpost,23,74197
Meli,39.375,89.84375,-112,2439,Moisuc's Claim,Mining Outpost,14282,48539
Mu-1 Cygni,-67.96875,-23.03125,10.59375,6285694,Asher Terminal,Mining Outpost,275,74998
Orerve,74.03125,48.75,64.75,2500000000,Filippenko Enterprise,Industrial Outpost,1997,67629
NLTT 44018,-28.34375,32.8125,54.15625,3292906,Bode Dock,Civilian Outpost,2975,56453
Moraikda,-142.59375,-77.875,-109.90625,10235,Piccard Gateway,Industrial Outpost,1198,54038
LTT 3572,18.90625,-4.21875,5.875,6030546,Stechkin Station,Industrial Outpost,629,32401
LP 672-4,59.3125,71.1875,-8.125,11406650,Akers Hub,Coriolis Starport,340,5779
Miribusha,22.8125,11.125,40.71875,41866,Kondo Port,Coriolis Starport,155,27972
Sugalis,-158.4375,-41.4375,-23.0625,17384,Veron Station,Mining Outpost,136,9213
Long,31.6875,-89.5,17.84375,60310,Foale Terminal,Scientific Outpost,769,8567
Wolf 152,-41.125,-15.125,-71.78125,1890,Hammond Port,Civilian Outpost,19,48292
Jamab,139.75,-197,99.28125,3152,Potter Enterprise,Coriolis Starport,351,2044
Kumbwe,121,-7.3125,-14.8125,1151,Herodotus Orbital,Industrial Outpost,256,46984
Li Prope,91.28125,62.53125,-111.0625,13825,Hirasawa Dock,Industrial Outpost,3676,19766
Ndabangluya,2.84375,17.40625,-103.21875,3520966,Converse Gateway,Civilian Outpost,18767,39768
Jamariharma,81.75,12.125,-114.71875,1918514,Sinclair Port,Commercial Outpost,239,53942
LFT 551,54.5625,6.8125,-43.0625,38975,Hui Vision,Civilian Outpost,1864,47856
Ngaru,-37.84375,-30.375,43.46875,49092,Eanes Port,Coriolis Starport,420,50614
Toluka,179.3125,-157.09375,3.15625,4706,Stevin Enterprise,Coriolis Starport,1975,26760
Pipedu,-126.5,47.8125,-82.71875,1323,Bohme Platform,Military Outpost,1610,45149
Keraitra,-21.625,-48.3125,-17.71875,7351282,Scithers Plant,Civilian Outpost,480,48401
Jambojai,-78.59375,-19.28125,101.84375,1431,Matthaus Olbers Relay,Industrial Outpost,531,15060
Juruing,-101.375,134.59375,21.25,3089,Wellman Port,Orbis Starport,457,18704
Kaana,-91.28125,70.625,-48.53125,2304,Gurney Station,Orbis Starport,255,5779
Waila,-21.5625,-202.15625,-43.59375,26490,al-Khayyam Platform,Civilian Outpost,7,2864
Kapus,-146.53125,59.3125,63.40625,2385,Thoreau Station,Mining Outpost,84,17917
Kutkhab,-161.8125,23.875,-13.03125,1663914,Berliner Gateway,Coriolis Starport,627,24307
Jura Laima,-162.375,-30.375,-9.375,1884219,McCaffrey Point,Industrial Outpost,65,57575
Lai Shui,141.34375,-100.3125,80.1875,4033,Soukup Hub,Scientific Outpost,1360,74900
Kunapa,172.875,-218.8125,-8.625,2987,Hubble Dock,Industrial Outpost,55570,7621
Jementunde,-92.9375,-102.78125,92.15625,2414,Merritt Base,Mining Outpost,857,23490
Kurutis,-89.96875,-44.09375,-136.875,1309591,White Landing,Industrial Outpost,9,2301
Zenusheper,-116.75,117.0625,-57.3125,2645,Hasse Hub,Coriolis Starport,7745,28976
Somtupi,-29.25,-159.78125,-43.375,2337,Lander Survey,Industrial Outpost,692,33482
Kigalky,137.8125,-60.4375,-81.15625,2887,Tan Orbital,Civilian Outpost,10174,5898
Koya Gu,134.53125,-225,68.28125,1825,Afanasyev Dock,Civilian Outpost,11887,22986
Ixtabru,124.28125,-239.625,-21,1944,Porubcan Dock,Coriolis Starport,259,28040
Karecoya,96.28125,0.84375,47.9375,25511,Remek Colony,Civilian Outpost,752,30787
Nyalalandi,-32.625,-30.03125,160.5625,16308,Remek Colony,Civilian Outpost,215,60715
Laumerthur,110,-77.34375,-85.75,3266,Webb Orbital,Orbis Starport,208,21458
Kokap,112.625,-204.84375,11.03125,3110,Savorgnan de Brazza Landing,Civilian Outpost,92623,56431
Lien,94.9375,81.0625,85.78125,1500,Torrens Interstellar Trading Outpost,Coriolis Starport,2792,74828
Pijaberet,-117.4375,22.53125,97.75,143781,Gauss Holdings,Industrial Outpost,216,22209
Khodur,62.8125,-244.03125,65.09375,5470,Avdeyev City,Ocellus Starport,33,75648
Lelatunji,42.6875,-128.6875,105.03125,4718,Leinster Gateway,Orbis Starport,475,22650
Punus,92.875,58.4375,95.65625,1627,Meikle Works,Mining Outpost,2538,33283
Kupole,-5.875,-136.90625,90.15625,4684,Lee City,Civilian Outpost,543,6553
LHS 1052,-30.25,-48.15625,-9.34375,2374,Gibson Gateway,Coriolis Starport,6,75154
Laifang,-97.125,70.1875,84.03125,1229,McArthur Orbital,Coriolis Starport,843,13202
Lan Yu,179.90625,-116.21875,-9.46875,4504,Balmer Station,Orbis Starport,56,14846
Hsua Bumi,158.75,-59.53125,-4.375,20960,Oliver Settlement,Mining Outpost,532,7813
Idomaguara,140.5,-142.0625,117.6875,2141,Rand Mines,Mining Outpost,2365,71161
Korubures,115.15625,-159.03125,96.25,3110288,Dyson City,Coriolis Starport,261,27800
Lepchaimyu,97.53125,-79.3125,58.6875,3892,Couper Gateway,Industrial Outpost,9525,22339
Knepagari,96.71875,-141.28125,-4.78125,2744,Barnwell Enterprise,Commercial Outpost,433,43615
L 214-72,37.53125,-95.15625,61.71875,4816,Giacobini Estate,Industrial Outpost,801,11634
Kharwar,38.9375,-180.8125,-83.59375,2566,Bunch Orbital,Orbis Starport,199,13358
Kwekwatta,19.875,157.59375,-4.9375,1236,McIntyre City,Coriolis Starport,280,2923
Iah Bei,20.5625,-120.1875,-143.5625,2287,Carver Enterprise,Industrial Outpost,55,14498
Kovae,-3.0625,-140.875,95.5625,1865,Palitzsch Terminal,Coriolis Starport,1709,558
Karnir,133.03125,-23.5,113.625,1061,Wasden Enterprise,Coriolis Starport,1265,17425
Kansei,-35.28125,96.84375,74.46875,24430,Hooke Enterprise,Civilian Outpost,8,8402
Lodere,3,-0.5,-135.8125,1188381,Lowry Terminal,Civilian Outpost,7311,39546
LHS 1106,-31.6875,-104.71875,-13.25,4184,Morgan Installation,Industrial Outpost,510,1850
Kuja,-45.78125,67,111,32331,Goetze Meister County [GMC HQ],Coriolis Starport,392,63126
Klos,-113.9375,57.65625,92.25,7017,Abe City,Industrial Outpost,170,43615
Kawilona,-105.40625,-94.59375,97,2043,Malzberg Vision,Coriolis Starport,494,20545
Hu Jung,26.375,-90.75,-63.1875,1914887,O'Connor Installation,Civilian Outpost,1295,42482
Njoeris,-34.90625,-26.59375,93.9375,13255,Lee Platform,Industrial Outpost,12,71748
Lie Yupik,98.8125,15.375,-35.1875,3285128,Maudslay Hub,Industrial Outpost,3100,20668
Kitchih,66.03125,-42.78125,-90.21875,19939,Helms Refinery,Civilian Outpost,380,45961
Koshe,104.84375,-8.1875,-73.0625,98387,Gorbatko Port,Coriolis Starport,1160,42647
Junda,45.96875,-25.46875,65.5,26713,Hurley Dock,Orbis Starport,542,44910
Kolhyni,50.40625,-42.59375,-79,18987,Friesner Port,Coriolis Starport,493,75238
Jukuna,-37.21875,-26.90625,116.90625,1565,Williams Station,Civilian Outpost,1164,39021
Kokojas,-83.0625,-41.46875,40.875,1737,Hire Gateway,Commercial Outpost,233,21131
Klikini,134.90625,-23.0625,44.8125,1323,Priest Orbital,Industrial Outpost,1866,74928
Khongalis,-95.625,8.125,-36.3125,2123573,Lerner Landing,Industrial Outpost,199,25000
Lemoerdhis,-51.625,-44.34375,-49.4375,2701,Tennyson d'Eyncourt Port,Orbis Starport,2636,15693
Lhou Tiegua,-123.53125,-28.3125,-88.4375,2994,Oren Vision,Industrial Outpost,26320,51564
Kazatobi,-153.28125,-33.5,15.71875,11985,Gooch Orbital,Industrial Outpost,399,17175
Koamuth,-162.0625,-34.90625,-14.75,923,Tapinas Freeport,Mining Outpost,14,61082
Ilyaqa,97.8125,-100.59375,-46.96875,63201,Wohler Platform,Industrial Outpost,12,64275
Ma'a,-103.8125,55.0625,-131.40625,1164,Brothers Platform,Coriolis Starport,132,6390
Kongi,-149.21875,14.25,-45.125,3057,Wnuk-Lipinski Installation,Industrial Outpost,16,6496
Jongo,140.46875,-160.1875,-41.9375,4925,Cenker Enterprise,Civilian Outpost,1847,35671
Irush,100.1875,-139.09375,121.53125,4083,Hoyle Survey,Mining Outpost,55,10548
Sarugh,1.65625,13.46875,-120,2760433,Hornby Dock,Coriolis Starport,1456,26311
Lapannodaya,77.125,27.09375,32.75,22991,Bethe Dock,Civilian Outpost,2391,2999
Lifthruti,70.15625,-143.625,123.15625,4553,Griffiths' Progress,Mining Outpost,352,7329
Ka'apok,63.40625,-196.5625,-61.28125,2942,Gamow Terminal,Scientific Outpost,923,75729
Las Vegaria,69.6875,-216.28125,15.34375,3152,Irwin Mines,Industrial Outpost,39,62879
Hun Nef,17.46875,-56.625,137.90625,1043,Dumont Station,Coriolis Starport,188,15337
Kariara,-2.875,-180.3125,30.96875,4440,Goddard Dock,Coriolis Starport,245,44699
Kutjini,-61,23.25,-133.625,8043,Berlin,Coriolis Starport,104,47503
Nasaraudi,65.25,-117.21875,-45.375,18934,Longomontanus Station,Commercial Outpost,1398,75266
Kebege,-74.53125,87.59375,-86.0625,1858046,Burton Vision,Coriolis Starport,321,65230
Svarizic,28.125,110.0625,36.34375,2862631,Makarov City,Industrial Outpost,1126,52666
Ololos,105.65625,47.0625,22.96875,1756,Satcher Ring,Industrial Outpost,3719,72289
Karenses,-125.375,2.59375,-73.96875,4744,Stafford Orbital,Orbis Starport,265,36202
Kamebis,-161.3125,15.15625,74.125,3019,Stableford Settlement,Industrial Outpost,93,13111
Inawyddi,85.875,-102.8125,-135.40625,1513,Boltzmann Base,Mining Outpost,10379,20907
Narasinha,19.5625,-138.6875,135.34375,3223,Mukai Hub,Civilian Outpost,147,2679
Jeid,83.125,71.375,-82.8125,34357,Khan Terminal,Mining Outpost,149,36351
Icones,163.6875,-40.625,-33.03125,1066,Watt Mine,Industrial Outpost,596,39247
Malja,-46.125,65.03125,86.5,59760,Tusi Dock,Industrial Outpost,100,40194
Sisii,-37.09375,-14.71875,-65.09375,2425880,Axon Station,Coriolis Starport,36,34949
Poleditya,33.75,-118.90625,56.15625,4960,Jones Terminal,Industrial Outpost,19623,54969
Kaukas,97.09375,-31.875,-94.46875,2542626,Lyulka Ring,Orbis Starport,29,21975
Wadjang,-55.1875,-103.1875,-95.4375,3839,Chebyshev Dock,Orbis Starport,862,54915
Lalande 2682,-41.875,-49.71875,-42.125,2944,McCulley Orbital,Industrial Outpost,2035,1202
Naraviri,129.53125,-8.25,66.4375,7222487,Slayton Terminal,Mining Outpost,295,1738
Kraung,116.5,-51.34375,-17,1822,Hoyle Port,Mining Outpost,147725,69444
Karugbara,-19.65625,139.09375,-51.4375,1349,Jackson Ring,Coriolis Starport,24616,3735
Unktondjin,-60,-50.5625,115.09375,501154440,Fuchs Port,Orbis Starport,2904,72985
Hun Binja,-8.03125,129.15625,-80.1875,14575,Tavernier Dock,Civilian Outpost,565,14865
Jarni,-56.96875,-67.78125,-12.4375,1962,Shajn City,Civilian Outpost,1935,44716
Songye,122.28125,-115.90625,-80.53125,1923,Paulmier de Gonneville Station,Coriolis Starport,254,9678
Kobogdi,52.875,-138.15625,-120,1038,Baturin Refinery,Industrial Outpost,2595,3375
LHS 1505,-50.25,18.8125,-44.09375,21809,Chalker Hub,Commercial Outpost,18,31148
Kalarnuteti,-12.65625,-181.40625,70,3890,Mondeh Terminal,Orbis Starport,120,22046
Nimari,94.03125,90.6875,19.15625,17582,Korolev Dock,Industrial Outpost,441,70913
Hun Nongga,98.8125,-84.71875,92,2271952,Akers Depot,Industrial Outpost,231,8652
Koyang,-120.9375,-78.59375,48.34375,30945,Sharipov Outpost,Civilian Outpost,338,8088
Kitja,-103.25,-2.125,156.40625,3289,Elder Hub,Coriolis Starport,6,9494
Inggarda,163.28125,-91.9375,106.5625,1786,Sabine Enterprise,Mining Outpost,1216,58652
Kalangputys,143.90625,-15.53125,5.25,3599,Humboldt Hub,Ocellus Starport,6,53400
Nantundan,110.4375,21.96875,116.3125,983,Maitz Ring,Industrial Outpost,441,57533
Jeitjali,61.9375,5.5625,-106,29956,Pashin Landing,Industrial Outpost,471,58635
Kumbia,-44.5625,-28.90625,154.40625,1528811,Popper Orbital,Mining Outpost,18636,69946
Jupangati,187.46875,-120.5,2.09375,1649,Hodgkin Dock,Orbis Starport,421,52222
Kharahua,164.03125,31.9375,14.9375,4297325,Ewald Port,Industrial Outpost,7,27875
Taoshas,-99.78125,-0.5,44,3284,Robinson Station,Coriolis Starport,457,12706
Jurcians,171.5625,-75.125,59.03125,1678,Apgar Horizons,Military Outpost,700,24176
Koartoq,174.65625,-203.96875,-12.90625,4618,Frobisher Terminal,Coriolis Starport,32,13027
Ipila,145.75,60.9375,-6.1875,2144,Harris Orbital,Coriolis Starport,167,10548
Okona,-120.78125,61.03125,101.65625,23718,Malenchenko City,Ocellus Starport,335,55206
Kapura,135.25,35.78125,-44.8125,169028,Schweickart Terminal,Coriolis Starport,1996,63083
Labera,121.09375,-197.65625,-2.4375,2134,Rosseland Orbital,Mining Outpost,1632,3735
Niu Bese,67.15625,-68.25,-47,2535,Smirnova Orbital,Mining Outpost,182,50096
Mi He,0.71875,-176.625,102.875,2044,Leberecht Tempel Terminal,Coriolis Starport,36,75026
Vettorasare,129.40625,-260,-17.03125,5438,Thomson Base,Civilian Outpost,500,70359
Hualamsa,81.09375,-170.65625,153.34375,14122,Mohun City,Scientific Outpost,1008,3040
Kandit,37.5625,159.46875,22.5625,2296,Deere Horizons,Commercial Outpost,1873065,575
Hunapese,42.625,-206.0625,3.5625,27409,Trevithick Enterprise,Industrial Outpost,387,57278
Ngalea,-81.1875,41.53125,141.625,1410,Maupertuis Dock,Coriolis Starport,641,45343
Zhana,40.125,136.5,36.84375,13982,Sitterly Ring,Orbis Starport,298,19126
Lenginang,-43,95.78125,-130.40625,6728,Newton Hub,Industrial Outpost,349635,70102
Kara,-29.75,-58.8125,-163.15625,1129,Quimper Installation,Civilian Outpost,10,2150
Kharwa,-55.59375,-98.53125,-97.25,1999319,Paola Point,Mining Outpost,265,6039
Col 285 Sector SW-O b21-5,-94.75,84.53125,113.375,514053,Russell Mines,Industrial Outpost,244,75782
Karaces,-98.34375,36.875,96.5,2947,Pryor Gateway,Coriolis Starport,1398,58605
Kuruma,-140.34375,-55.59375,-51.1875,1049,Stith Port,Civilian Outpost,242,32984
Nipibo,136.59375,-5.5625,4.21875,2317,Mil Port,Industrial Outpost,1436,32581
Kurite,72.71875,-208.65625,-44.8125,4709,Yaping Terminal,Mining Outpost,8278,74928
Hraeango,-173.75,-9.96875,-42.53125,1973,Robson City,Civilian Outpost,130954,786
Xuangkomi,-117.4375,-32.03125,34.9375,3035,al-Kashi Terminal,Mining Outpost,31,15495
Jen Kunguru,158.96875,-76.21875,71.34375,1966,Fearn Stop,Mining Outpost,196,73683
Kartamoan,146.59375,-159.84375,114.40625,1799,Willis Orbital,Coriolis Starport,936,47320
Tjialfi,-100.6875,52.15625,-29.125,22971,Smith Colony,Civilian Outpost,1643,32910
