system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id,stations_allegiance
Thakan,134,-242.28125,-20.71875,1932,Willis Terminal,Mining Outpost,151525,Federation,Khawchuang Federal PLC 
Theta Phoenicis,45.4375,-235.71875,92.40625,2516,Gohar Hub,Coriolis Starport,1257,Federation,Alliance of Soyota 
Sigur,-74.8125,-120.15625,-81.75,1641187,James Sneddon,Orbis Starport,820,Independent,Morten-Marte Universal Limited 
Tao Dai,138.4375,-82.75,106.03125,1578,Crampton Station,Civilian Outpost,721,Empire,Palliyar Patron's Principles 
Uke Mebes,84.53125,-11.5,-131.25,1260,Ellison Dock,Industrial Outpost,634,Federation,Geb & Co 
Tzel,-54.40625,-82.65625,6.625,18648,Fuglesang Station,Orbis Starport,1363,Independent,Aramorans Industries 
Pyemmar,122.5,46.65625,24.375,1857,Riemann Gateway,Coriolis Starport,538,Independent,Badjarans Nationals 
Paitra,133.8125,8.1875,-108.59375,10132,Cheli Terminal,Industrial Outpost,21617,Independent,Albarib Gold Public Network 
Thos,108.84375,-76.375,-62.34375,2728,Borisenko Orbital,Coriolis Starport,349,Independent,Carpaso General Interstellar 
Tenma,-0.5625,-59.4375,115.75,2989,Qureshi City,Industrial Outpost,2980,Empire,Menusha Empire Consulate 
Pastii,-57.59375,-78.96875,124.03125,163172,Trumpler Mines,Mining Outpost,667,Independent,86 Aquarii Pirates 
Renpetani,-110.0625,-50.1875,-89.0625,15464,Faraday Ring,Orbis Starport,2381,Independent,7 Pi-1 Orionis Company 
Ross 609,76.3125,10.34375,-155.25,26581,Langford Enterprise,Mining Outpost,469,Independent,HIP 106439 Council 
Tolit,198.375,-109.375,29.21875,218515,Russell Terminal,Mining Outpost,582,Empire,HIP 16914 Network 
SPOCS 678,64.53125,-11.125,90.4375,1524,Ellis Gateway,Coriolis Starport,504,Independent,Starstone Enterprises 
Thra Yax Bard,143,-83.46875,-37.53125,1965,Blodgett Terminal,Coriolis Starport,256717,Federation,Independents of Kedoshe 
Paitina,73.71875,26.0625,13.78125,2456,Northrop Terminal,Mining Outpost,21726,Federation,Values Party of Albarib 
Pemeowa,16.0625,-106.4375,7.34375,3866,Ferguson Dock,Civilian Outpost,478,Independent,Sibito Council 
Quamte,153.28125,-72.96875,18.09375,2146,Dantec Terminal,Coriolis Starport,16,Empire,HIP 94863 Empire Assembly 
Sivaci,-121.09375,-41.1875,-44.25,885177,Kondakova Beacon,Industrial Outpost,652,Federation,Movement for Byggvi Resistance 
Paelis,-89.65625,-96.59375,-23.75,1773864,Baily Dock,Mining Outpost,55,Empire,Achehoongat Energy Group 
Tornakulha,-46.84375,-88.90625,68.53125,7043,Nicolet City,Coriolis Starport,520,Federation,Independent Arinack Free 
Ponti,87.90625,-86.6875,85.375,2644,Herbig Dock,Commercial Outpost,8,Independent,Revolutionary Party of Mebes 
Tharuburr,-12.78125,-86.15625,103.59375,2191,Crown Dock,Coriolis Starport,2721,Independent,Selebegua Industry 
Thrutti,124.375,3.65625,71.4375,1369,Hume Vision,Coriolis Starport,1593,Independent,Drug Empire of 15 f Leonis 
Parenich,87.09375,2.3125,-137.875,14212,Greenstein Installation,Civilian Outpost,1635,Empire,Arasiri Patron's Principles 
Viliquerret,-102.4375,-95.53125,6.875,14769,Virtanen Hub,Orbis Starport,109,Alliance,Future of Udegoci 
Payana,58.90625,100.3125,-31.25,1200833737,Bursch Enterprise,Orbis Starport,727,Independent,Wolf 1148 Flag 
Rishadi,138.46875,-27.0625,53.5,1391,Levi-Montalcini Platform,Civilian Outpost,1270,Federation,Workers of LP 71-157 Coalition 
Theemetana,126.8125,83.90625,-72.75,8814,Kandrup Vision,Ocellus Starport,1277,Empire,Mankul Blue Allied Exchange 
Hyades Sector RI-T c3-10,75.4375,-142.375,-125.78125,47,Kennicott Landing,Planetary Outpost,18,Independent,Independent Shapsugabus for Equality 
Persephone,31.59375,-104.53125,8.0625,150000,Roe Gateway,Coriolis Starport,1664,Empire,LTT 8657 Patron's Principles 
Pue Zhua,-16.4375,-136.40625,-53.3125,1845,Leuschner Station,Orbis Starport,22329,Empire,Laur Imperial Society 
Rain,-12.03125,67.15625,-94.9375,3087547,Resnick Survey,Industrial Outpost,1212,Independent,Osuntii & Co 
Sokatines,60.9375,-126.25,117.34375,3809013,Kavandi Dock,Coriolis Starport,10683,Federation,Progressive Party of GD 140 
Tian,20.5625,-141.21875,16.75,6328,Benz Ring,Coriolis Starport,10748,Federation,New 15 Lambda Aurigae Revolutionary Party 
Tacare,46.09375,-73.84375,-149.625,1000207,Musabayev Orbital,Industrial Outpost,94636,Independent,HIP 87914 Hand Gang 
San Lo Wangu,-51.09375,-41.03125,8.21875,1831,Polansky Platform,Mining Outpost,1321,Federation,Alliance of Chun Hsi 
Sukula,158.21875,-168.5,-17.96875,4162,Savery Hub,Industrial Outpost,487,Independent,5 G. Apodis Limited 
Pemez,-76.0625,-124.375,6.75,1256,Clifford Terminal,Coriolis Starport,248,Independent,Noblemen of Tacare 
Tricates,-16.625,85.5625,148.375,2406,Macdonald Station,Civilian Outpost,124,Independent,Tewikwithat  Consulate 
Selinja,-65.40625,132.9375,85.28125,2270,Pauli Settlement,Coriolis Starport,284,Independent,The Wolf Society 
Parasvari,130.84375,-98.90625,30.125,4712,Gamow City,Orbis Starport,11725,Federation,Social Talitha for Equality 
Quaaybuwan,133.21875,111.90625,102.34375,2569,Lasswitz Sanctuary,Mining Outpost,1400,Independent,Le Ejja Jet Hand Gang 
Wosreti,-20.625,-98.03125,85.34375,3242268,Chang-Diaz Colony,Industrial Outpost,177,Independent,Family of Mu Capricorni 
UGP 64,13.3125,-76.25,-83.9375,39876,Strekalov Colony,Civilian Outpost,478,Independent,NLTT 51200 Commodities 
Tumuye,85.90625,17.59375,-82.28125,1836,Kessel Gateway,Industrial Outpost,1462,Independent,Natural Dao Jungu Regulatory State 
Sochet,126.34375,0.125,101.03125,2619,Foucault Dock,Industrial Outpost,19,Independent,New Ndjari Autocracy 
Turnon,-85.75,41.625,51.375,3356314,Fernandes de Queiros Plant,Industrial Outpost,1864,Independent,Friends of Hualm 
Pimari,62.34375,-130.84375,185.96875,1955,Erdos Landing,Civilian Outpost,511,Independent,Wori Silver Transport Org 
Sigma Geminorum,22.90625,50.59375,-112.0625,4550327,Fadlan City,Coriolis Starport,774,Independent,Rain Bureau 
Ross 223,-134.0625,-29.0625,-27.0625,1061538755,Brunton Hub,Orbis Starport,96,Federation,Yam Silver Central Partners 
Ten Samba,1.9375,-157.8125,-12.3125,44613,Ashton Terminal,Industrial Outpost,600,Empire,Huano Empire League 
Ugrasin,-106.71875,88.625,11.28125,1261,Schweickart Enterprise,Military Outpost,11589,Independent,Law Party of LTT 15899 
Windumu,-13.46875,35,-116.90625,1514,Saarinen Survey,Civilian Outpost,95,Empire,HIP 16460 Industries 
Succelli,77.59375,-38.375,47.75,22176,Stephens Ring,Industrial Outpost,1485,Empire,First Imperial Fleet 
Tereks,-42.125,-121.34375,-3.46875,2649585,Tomita Vision,Mining Outpost,10364,Empire,41 Upsilon-4 Eridani Assembly 
Thalarctos,67.0625,-156.28125,-45.78125,2500,Roberts Ring,Coriolis Starport,2321,Independent,HIP 107618 Partnership 
Sakthau,127.15625,-64.59375,75.09375,3979,Payne Station,Industrial Outpost,1375,Independent,Guayambaan Bureau 
Shankarns,-39.5,95.1875,118.8125,1092,Alden Vision,Civilian Outpost,686,Empire,HIP 12766 Empire Party 
Wiliajuk,74.6875,88.78125,-120.9375,1460266,Flade Port,Coriolis Starport,339,Federation,60 b Leonis Labour 
Tetes,-153.8125,58.125,68.6875,2655,Tenn Sanctuary,Civilian Outpost,173,Independent,Dao Monarchy 
Skardee,89.46875,-3.5625,-2.625,5000,Banno Station,Mining Outpost,1239,Empire,HIP 7961 Empire Party 
SPOCS 111,-55.875,-64,-76.0625,37865,Schouten Gateway,Coriolis Starport,3471,Alliance,Bhumians Blue Natural Solutions 
Targari,-5.53125,-67.1875,50.3125,4066660,Alvares Ring,Scientific Outpost,415,Federation,Oisi Progressive Party 
Songballa,32.375,-117.75,-81,5779428,Runco Ring,Ocellus Starport,614,Federation,Kungkalenja League 
Raurus,97.40625,-42.15625,75.03125,1665,Albumasar City,Orbis Starport,412,Empire,Tuareg Empire Party 
Sigurd,57.0625,-122,56.4375,3681,Cori Dock,Civilian Outpost,368,Independent,Traditional Serklich Order 
Polontien,-65.46875,133.28125,84.96875,7132194,Tiedemann Terminal,Civilian Outpost,95,Alliance,HIP 72604 Bridge Partners 
Tirikohoch,105.34375,20.75,68.53125,1919,Trevithick Orbital,Orbis Starport,115,Federation,Thoth Free 
Wintii,79.59375,81.9375,79,27162,Land Colony,Civilian Outpost,65,Federation,Menhures Corp. 
Pyemmairre,2.84375,-125.6875,6.8125,5180953,Nagata Co-operative,Civilian Outpost,2395,Independent,HIP 105483 Citizen Party 
Yuruti,0.5625,82.625,-149.75,1138,Vonnegut Port,Orbis Starport,723,Empire,HIP 43197 Exchange 
Selkupath,-123.34375,-9.90625,-31.46875,4283,Steinmuller's Inheritance,Industrial Outpost,39,Independent,Regulatory State of Hareg 
Ulangin,-47.25,-17.875,-118.65625,1590,Phillips Orbital,Civilian Outpost,917,Empire,Mehime Patron's Principles 
Uchang,147.21875,-13.34375,63.71875,2295034,Chertovsky Station,Commercial Outpost,56,Empire,Chinner Emperor's Grace 
Taured,78.4375,-2.21875,-3.125,1365,Banks Prospect,Industrial Outpost,4795,Independent,Aning Stakeholders 
HIP 21637,-8.9375,-37.5,-140.03125,919830,Webb Point,Planetary Outpost,247,Independent,Independent Naika Labour Union 
STF 2841,-78.78125,-40.78125,19.15625,10729774,Ashton Station,Orbis Starport,489,Independent,Conservatives of Liu Xingga 
Sibisius,-43.78125,97.65625,-56.1875,3373,Drake Gateway,Industrial Outpost,210,Empire,Vodyanes Emperor's Grace 
Seharis,91.96875,-65.40625,17.96875,2607,Wiberg Platform,Industrial Outpost,120,Independent,Leaders of HIP 7338 
San Wenhot,-21.5625,-40,89.5,2623,Beg Mines,Civilian Outpost,2877,Empire,Imperial Privateers 
Ross 591,-32.1875,-28.09375,-111.375,4100889,Ricardo Gateway,Civilian Outpost,12,Federation,Crimson Energy Exchange 
Rho Indi,43.21875,-60.9375,45.03125,1828,Boswell Terminal,Coriolis Starport,742,Independent,Crom Silver Boys 
Raguvii,2.5,32.59375,55.125,31511,Scithers Orbital,Industrial Outpost,267,Independent,Revolutionary Gandagetu Independents 
Quiness,-46.46875,37.78125,-24.9375,15000,Wittgenstein Refinery,Civilian Outpost,6655,Federation,Independent Kusubi Gong Confederation 
PPM 41187,-74.125,-1.9375,-23.90625,34448,Wigura Gateway,Commercial Outpost,22131,Independent,Laur Independents 
Pegasi Sector FR-V c2-12,-161.03125,-20.21875,-1.46875,47702,Elcano Vision,Planetary Outpost,102456,Independent,Ba Xinga Silver Dynamic Co 
Pisagi,75.59375,-51.84375,80,2461,Rizvi Dock,Orbis Starport,15793,Empire,Gliese 9029 Blue Netcoms Inc 
SPOCS 343,99.4375,-12.375,-64.03125,44819,Vishweswarayya Dock,Coriolis Starport,32895,Federation,Paeste Free 
Pera,30.59375,-84.15625,63.03125,40981,Juan de la Cierva Port,Industrial Outpost,45,Empire,Mahau Empire Assembly 
Pentu,54.375,110.53125,48.5,2674763,Galton Dock,Ocellus Starport,42,Independent,Traditional Ataciangir Law Party 
Shenetserii,15.21875,-44.3125,-33.4375,30848,Burnet Horizons,Coriolis Starport,9,Independent,Corsarios de Heimdal 
Sayango,37.15625,-37.15625,70.46875,1622,Cramer Dock,Orbis Starport,4116,Federation,Plutarch Crimson Creative Int 
Sibitia,-37.0625,81.625,103.9375,17584,Inoda Ring,Coriolis Starport,297,Empire,Sokatines Power Incorporated 
Polus,83.8125,30.90625,31.5625,5268482,Nakano Mines,Civilian Outpost,314,Independent,Sektion 20 
Tehuevik,-38.25,83.5625,-121.4375,150930,Behnken Station,Ocellus Starport,539,Federation,Iktomisi Advanced Group 
Saraj,-82.28125,11.375,32.0625,19819,Collins Settlement,Civilian Outpost,2590,Federation,1 Geminorum Liberals 
Rusamai,-36.6875,-22.53125,145.59375,1906,Magnus Orbital,Orbis Starport,1324,Federation,United Mombaluma Resistance 
Samar,71.3125,68.53125,-142.90625,3038536,Babcock Hub,Industrial Outpost,1423,Empire,Bureau of Peragi 
Turd Wura,-77.65625,-29.375,42.25,2880,Wrangell Horizons,Coriolis Starport,3388,Alliance,Wolf 406 Transport & Co 
Soturicari,-34.78125,-34.125,-3.15625,2407,Kekule Orbital,Industrial Outpost,19,Alliance,Future of Udegoci 
Sigma Serpentis,-19.5,47.9375,72.3125,3068,Beekman Orbital,Civilian Outpost,779,Empire,Heget Gold Travel Inc 
Pardal,-57.21875,15.4375,105.78125,2202,Evans Plant,Civilian Outpost,1022,Alliance,Machi United 
Quikudi,-35.65625,-40.40625,72.4375,27471,Horrocks Vision,Civilian Outpost,3824,Empire,Baal Guardians of Tradition 
Russi Wang,42.78125,80.59375,82.6875,19092,Dassault Enterprise,Mining Outpost,205,Independent,Unified Chuquiar 
Shernaq,-100.21875,-0.46875,50.6875,21401,Fox Dock,Mining Outpost,104,Empire,Earls of Hun Aphuill 
Tacae,-50.1875,82.84375,-14.15625,29154,Hobaugh Hub,Coriolis Starport,95415,Independent,Allied HIP 87914 Law Party 
Trella,-57.375,14.59375,60.625,49598,Fung Settlement,Industrial Outpost,225,Independent,CW Ursae Majoris Conservatives 
Suchagga,-56.34375,23.71875,56.6875,25890,King Enterprise,Industrial Outpost,2612,Independent,Liberty Party of Mandjila 
Susanoo,12.1875,-1.65625,-62.78125,2644,Titov Colony,Industrial Outpost,14,Alliance,People's Party of LTT 14271 
Tzu Kun,26.21875,-53.46875,-143.96875,1531,Zewail Relay,Civilian Outpost,796,Federation,SMR 
Sesmetae,51.1875,-25.25,55,26602,Coggia Hub,Coriolis Starport,8487,Empire,Traditional Swahili Order 
Truku,-59.90625,-3.1875,135.84375,3743852,Smyth Ring,Coriolis Starport,2405,Empire,Dainayiman Emperor's Grace 
Sesuyar,-42.875,-31.65625,23.59375,459648,Druillet Hub,Industrial Outpost,1980,Empire,Narakwates Corp. 
Phra Mool,25.0625,-19.96875,58.875,1490261,Wisdom Prospect,Mining Outpost,3114,Empire,HIP 115411 aristocrats 
Reddot,16.03125,-75.3125,10.0625,5000,Ansari Station,Industrial Outpost,108,Federation,Nagasairu Purple Vision Company 
Troch,-5,-225.125,-27.0625,4333,Boucher Terminal,Orbis Starport,256,Federation,84 Ceti Comms PLC 
Patrug,-22.84375,-117.53125,88.9375,4134321,Payton Port,Industrial Outpost,5,Federation,Virseku Corp. 
Scythodio,-86.71875,-41.59375,39.0625,1980270,Salgari Vision,Coriolis Starport,509,Federation,Hariates Labour 
Taranis,-52.53125,18.46875,-28.6875,2159,Stasheff Terminal,Orbis Starport,367094,Federation,Neits Jet Life Ltd 
Sibio,11.09375,-89.21875,121,1241816,Denning Vision,Commercial Outpost,1755,Empire,Vodyanes Emperor's Grace 
Arietis Sector EQ-Y c17,-24.53125,-87.6875,-166.4375,13319,Humason Dock,Mining Outpost,85,Independent,HIP 87638 Unionists 
Ross 1008,-8.71875,51.5625,1.5,9085171,Zholobov Ring,Civilian Outpost,296,Independent,HDS 1065 Jet Legal Industry 
Ramarga,60.53125,129.625,4.71875,1291,Malchiodi Dock,Industrial Outpost,716,Independent,Tarbi Nationalists 
Purungurawn,115.625,-152.875,75.375,3722856,Nielsen Hub,Civilian Outpost,237,Independent,11 Aquilae Bridge Corp. 
Peramongan,-164.625,-27.78125,45.375,1295530,Margulis Station,Coriolis Starport,2290,Independent,NULL 
Tsimaia,-121.375,-44.59375,-57.875,31144,Eddington Landing,Civilian Outpost,91,Federation,Social Peckolong Free 
Sun Takush,-54.53125,-17.21875,57.59375,1979367,Samokutyayev Orbital,Industrial Outpost,4898,Federation,111 Tauri Independents 
Zoquala,-76.78125,-73.0625,-70.5625,1236028,Sharman Plant,Industrial Outpost,964,Independent,Hagr Purple Transport Inc 
Naebin,124.1875,41.375,-47.34375,1075463,Noguchi Dock,Industrial Outpost,882,Federation,LHS 250 Industry 
Ogmana,129.0625,-135.03125,-71.65625,2281,Nielsen Orbital,Civilian Outpost,2221,Federation,LHS 6305 Life Ltd 
Lokit,96.21875,0.21875,26.4375,1529,McQuarrie Port,Mining Outpost,45843,Independent,Labour of Huma 
Lodheima,-11.34375,-24.46875,-122.75,1672,Navigator Landing,Industrial Outpost,1227,Independent,Purple Central Industry 
Hyades Sector HR-V c2-9,70,7.9375,-179.875,50299,Garratt Enterprise,Commercial Outpost,100682,Federation,Purisaz Silver Public Exchange 
Yantja,155.03125,42.46875,-4.0625,2922,Shaw Port,Coriolis Starport,10736,Empire,Krine Blue Transport PLC 
Maujas,-53.59375,-115.875,-26.0625,33741,Mullane Terminal,Orbis Starport,488,Independent,HIP 44811 Interstellar 
Narans,-135.03125,21.53125,84.5,5217,Michael Orbital,Industrial Outpost,137,Independent,Gold Dynamic Organisation 
Ogunnr,40.6875,-41.21875,-84.9375,2307450,Flynn Dock,Orbis Starport,872,Federation,Kaushairup Federal Network 
Pencil Sector EL-Y d5,816.3125,2,-44.03125,25000,Bernoulli Penal colony,Planetary Outpost,119927,Federation,Kairos Future 
LTT 3818,67.5625,55.46875,-17.9375,1922,Williams Ring,Coriolis Starport,9475,Federation,Social Gani Future 
Mongsakah,145.34375,-35.3125,11.875,2014,Adkins Terminal,Civilian Outpost,35,Empire,Ngarawe Empire Pact 
Marson,-29.21875,-38.53125,-78.96875,17080,Greenland Outpost,Mining Outpost,784,Empire,Pipia Life Interstellar 
Nganinks,-81.59375,-37.09375,82.84375,1419,Petlyakov Orbital,Industrial Outpost,36,Empire,Napia Organisation 
Narveti,153.1875,-206.1875,-9.5,2483,Maitz Port,Ocellus Starport,963,Independent,Rogue Runners 
Nana Buluku,116.1875,-73.75,-53.90625,1655,Wagner Works,Mining Outpost,2213,Independent,Cartel of HIP 83983 
Mikuylka,108.75,75.03125,-91.34375,11142,Kapp Dock,Coriolis Starport,7,Empire,LTT 2601 Patrons of Law 
Matshiru,94.75,-69.34375,-104.0625,1703,Adams Dock,Coriolis Starport,309,Independent,Conservatives of Enawar 
Nantariates,79.25,-196.3125,81.9375,549232596,Stone Dock,Coriolis Starport,14645,Empire,Vashishtha Power Corporation 
Ngobed,74.3125,-16.53125,-28.375,2510,Armstrong Enterprise,Industrial Outpost,316,Independent,LHS 3388 aristocrats 
Nandarib,16.375,-136.03125,-69.34375,3205,Asclepi Terminal,Scientific Outpost,3451,Empire,CD-28 18350 Patrons of Law 
Moha,-12.375,-81.0625,-68.59375,2239,Gill Port,Orbis Starport,1684,Independent,Natural HIP 7916 Flag 
Minjung,-37.5625,-95.65625,-38.96875,1469108,Roelofs Terminal,Commercial Outpost,140,Independent,United Lileni for Equality 
Wayaliti,-3.84375,-33.6875,-83.40625,1958,Hausdorff Holdings,Industrial Outpost,50,Independent,Labour Union of HIP 97950 
Medei,159.96875,-198.71875,-2.6875,5330,Singer Dock,Civilian Outpost,658,Federation,Akba Atacab Interstellar 
Vertheli,45.53125,125.78125,-24.375,2955,Sargent Gateway,Coriolis Starport,41,Independent,Progressive Party of Gullveti 
Orom,95.5625,-19.78125,-54.59375,14579,Fernandez Gateway,Civilian Outpost,2466,Independent,Future of LP 926-40 
Ogma,90.8125,79.46875,-5.59375,3554,Schmitz Ring,Coriolis Starport,997,Federation,LHS 6305 Life Ltd 
LTT 1373,78.625,-122.59375,-5.5,2730,Qureshi Station,Mining Outpost,72,Independent,Beker Industries 
Liu Behueno,76.5625,-124.15625,-81.53125,1754,Friend Hub,Coriolis Starport,283,Alliance,Independent BD+46 2014 Future 
Ogmiutana,58.6875,-22.96875,-159.65625,2284,Behnisch Terminal,Industrial Outpost,483,Empire,Julastii Public Corporation 
LTT 141,50.28125,93.0625,38.9375,1214,Curtiss Hub,Coriolis Starport,5391,Independent,Independent Beker for Equality 
Ocassi,29.15625,112.90625,-127.125,1702,Kidman City,Coriolis Starport,877,Federation,LP 564-39 Industry 
Neginn,19.28125,-202.875,-40.8125,2995,Jemison Ring,Commercial Outpost,17942,Federation,LHS 1743 Corp. 
LP 937-31,8.71875,-188.46875,24.8125,43453,Slade Ring,Ocellus Starport,247,Independent,HIP 60953 Resistance 
Nal Yax,-19.1875,-161.15625,2.53125,1696892,Gardner Port,Coriolis Starport,902,Independent,Solar Transit Dynamics 
Nanatauvii,-20.90625,-191.375,46.90625,45905,Terry Platform,Industrial Outpost,307,Independent,Future of Guayambaan 
LTT 8914,-34.21875,-62.09375,36.125,12883,Cernan Settlement,Mining Outpost,455,Federation,Lumba Federal Corp. 
Omanari,27.40625,-17.375,-123.53125,1089197,van Royen Station,Industrial Outpost,589,Empire,HIP 10834 Citizens' Forum 
Mooramba,-68.625,-17.5,-149.125,2752,Thorne Ring,Orbis Starport,56321,Federation,HIP 38129 Republic Party 
Liu Hef,-101.59375,56.09375,-59.90625,31047,Hevelius Terminal,Industrial Outpost,9166,Independent,Glusargiz Energy Exchange 
LP 415-1446,-0.53125,-30.90625,-71.28125,17934,Stein Terminal,Military Outpost,101175,Empire,Kharaitis Empire Party 
Mindji,-124.4375,-60.0625,-40.71875,19090,Shaw Terminal,Orbis Starport,9932,Federation,49 Serpentis Progressive Party 
Olorun,37.90625,40.625,-27.25,32324,Worlidge Station,Industrial Outpost,6,Alliance,Five Points Syndicate 
Moria Bahpu,144.96875,-1.75,-10.375,1456,Bachman Dock,Ocellus Starport,14519,Independent,HIP 81862 Allied Services 
Njemayeka,71.34375,-79.15625,-76.75,3734990,Giacobini Hub,Coriolis Starport,95,Empire,Ao Ch'an Patron's Principles 
Manchi,171.90625,-172.84375,17.1875,11905,Quick Orbital,Orbis Starport,418,Federation,HIP 53719 Major Industries 
Nemepawe,-127.59375,34.90625,-43.40625,2560294,Jeschke Ring,Civilian Outpost,958,Independent,Tsohave Free 
Lokoko,-122.75,-37.0625,-62.96875,12392,Wallace Orbital,Commercial Outpost,215454,Federation,United Aktzin Future 
Nauri,107.96875,-32.96875,35.875,1526024,Melia Settlement,Mining Outpost,148,Empire,Borai Front 
Nekhmetona,91.09375,-32.125,-107.375,1124,Effinger Point,Mining Outpost,327,Independent,Canonn 
Nezhenses,6.25,-41,-27.03125,30439,Burns Vision,Coriolis Starport,382,Empire,HR 148 Patron's Principles 
Noongatiiq,-20.28125,-99.9375,-132.15625,1368,Bridger Terminal,Mining Outpost,203,Federation,Independent Iapo Vuh for Equality 
Tiang Wu,-47.875,50.75,103.1875,18612,Bounds Hub,Mining Outpost,179321,Independent,16 Eta Sagittae Crimson Group 
Manguts,43.46875,-5.96875,-45.21875,2823,Kepler Orbital,Orbis Starport,36,Federation,Atropos & Co 
No Miki,38.03125,-104.90625,139.03125,4235,Galle Station,Orbis Starport,1566,Empire,Koleti Guardians of Tradition 
Lohra,19.0625,-134.5625,-54.03125,41974,Markham Legacy,Mining Outpost,1107,Independent,Institute of Galactic Exploration and Research (IGER) 
Matire,141.40625,-151.21875,-18.03125,3044,Kowal City,Civilian Outpost,53,Empire,Manianscudo Guardians 
Moriongo,-102.28125,7.78125,-114.6875,1029,Volynov Vision,Industrial Outpost,1400,Independent,Secoyans Blue Posse 
Niabi,-48.15625,58.125,145.3125,3642,Gentle Hub,Orbis Starport,860,Federation,Gunnovale Crimson Vision Ind 
Pa Kammai,95.0625,-161.5625,168.34375,3728,Osterbrock Ring,Industrial Outpost,1297,Empire,Jamariges Emperor's Grace 
Mannovichs,196.4375,-145.625,80.03125,4099,Levi-Strauss Orbital,Mining Outpost,163,Independent,Wolves of Jonai 
Taiocha,-94.25,23.71875,60.5,2329,Tull Gateway,Orbis Starport,84,Federation,BD+49 1280 Free 
Madyaksha,89.625,-240.84375,55.75,4798,Olivas Mines,Industrial Outpost,8,Federation,Tharsis Corporation 
Surmodi,-42.15625,82.03125,129.96875,1023,Anderson Ring,Ocellus Starport,2640,Federation,241 G. Aquarii for Equality 
Tethlon,30.1875,0.09375,81.46875,250000,Herrington Vision,Ocellus Starport,225,Federation,Lan Tie Yu Jet State Inc 
Moroni,128.59375,-37.46875,-7.59375,1657,Antonelli City,Coriolis Starport,2964,Federation,Pongo PLC 
Nanter,-66.90625,-29.21875,9.5,25873,Fraunhofer Survey,Industrial Outpost,3717,Empire,Beta Gruis Empire Party 
HIP 3267,-128.40625,8.6875,-81,17981,Vishweswarayya Vision,Planetary Outpost,9440,Federation,Colanja Gold Power Services 
Orgetu,-92.96875,-25.1875,-75.96875,1248,Krusvar Enterprise,Commercial Outpost,51,Independent,Lovaroju Solutions 
Lusong,117.78125,-106.53125,96.46875,2433,Harrison Port,Civilian Outpost,1875,Federation,LFT 1442 Gold Energy Corporation 
Mirdhr,-102.71875,-99.0625,98.40625,1311,Harvia Landing,Mining Outpost,147250,Empire,HIP 5031 Holdings 
Penadak,-69.375,-1.90625,160.21875,73520,d'Allonville Gateway,Orbis Starport,1706,Empire,Ngere Advanced Network 
Mooramoora,41.15625,124.03125,-71.03125,2069026,Galvani Orbital,Industrial Outpost,55861,Independent,HIP 38129 Gold General Systems 
Maona,-4.375,-207.21875,42.59375,4037,McKee Terminal,Coriolis Starport,64,Independent,Achian Partners 
Oeng,-43.40625,-120.6875,124.5625,1358,Quetelet Outpost,Mining Outpost,786,Empire,Leaders of Gciri 
Masai,-138.90625,52.75,-85.75,1726488,Herreshoff Hub,Civilian Outpost,2800,Federation,New HIP 85129 for Equality 
Mahatrents,-149.3125,81.78125,-51.40625,2114,Quick Dock,Ocellus Starport,557,Alliance,Regulatory State of Milelbis 
Madjandji,-157,-38.40625,16,142369,Selberg Station,Industrial Outpost,19,Alliance,Remlok Industries 
Ualame,-53.375,15.84375,75.75,17320,Fiennes Platform,Civilian Outpost,359,Independent,LTT 4586 aristocrats 
Naunapitana,119.59375,-178.28125,2.71875,2694,McDivitt Platform,Civilian Outpost,8,Independent,Explorer on Tour 
Ovinn,27.65625,-82.5,-89,16487,Ejigu Terminal,Orbis Starport,31928,Empire,HIP 98621 Patron's Principles 
Oscans,116.4375,-73.15625,-55.90625,1699,Weaver City,Ocellus Starport,190,Empire,United HIP 104256 Flag 
Muduma,-16.03125,121.40625,53.28125,1512,Elst Hub,Civilian Outpost,1058,Empire,Freedom Party of Zhao Jin 
Psi Octantis,73.90625,-75.46875,67.8125,5000,Theodorsen Terminal,Orbis Starport,22255,Empire,Laur Imperial Society 
Morioux,-41.78125,-137.0625,113.875,145535,Dyr Terminal,Ocellus Starport,1010,Alliance,Union of DH leonis for Equality 
LTT 1272,26.125,-95.15625,-32.65625,4523825,Voss Colony,Civilian Outpost,1457,Independent,Union of Frigga People's Party 
Seediansi,-15.59375,-28.9375,-6.5,3497842,Miller Port,Industrial Outpost,4531,Empire,HIP 3292 Crimson Major Systems 
Maghri,64.8125,117.84375,-16.875,2794081,Doi Station,Civilian Outpost,630,Federation,LP 542-33 Vision Group 
Mahlina,142.09375,29.3125,-100.59375,3502,Sutter Dock,Coriolis Starport,642,Empire,Party of Kanaheim 
Olelatha,202.34375,-155.1875,41.5625,4045,Gamow Port,Civilian Outpost,14366,Federation,Vindinepu Republic Party 
Maniatetii,26.3125,-101.65625,169.28125,2609,Brin Port,Civilian Outpost,434,Independent,Capoya Silver Comms Co 
Naebisoci,-40.8125,-140.78125,120.84375,65009,Burbidge Platform,Civilian Outpost,622,Empire,Arapathaka Empire Party 
Meidruwa,-139.9375,-21.21875,101.90625,2073,Jahn Station,Coriolis Starport,2029,Federation,Subra Republic Party 
LTT 2412,97.125,-55.6875,-16.5625,30169,Bramah City,Orbis Starport,10427,Independent,Lalande 13198 Transport Org 
